pouco,a little,,,,,,,,,,,,colega,colleague / classmate,,responder,to answer,,trabalhador(a),hard-working,,devagar,slowly
mais,more,,forms of 'SOME',,,,,,,,,,avô/ó,grandfather/mother,,ajudar,to help,,honesto/a,honest,,depressa,quickly
menos,less,,,Singular,Plural,,,,,,,,tio/a,uncle/aunt,,comprar,to buy,,educado/a,polite,,rapidamente,quickly
tão,so,,Masculine,algum,alguns,,,,,,,,primo/a,cousin (m/f),,pagar,to pay,,responsável,responsible,,juntos,together
bastante,quite / enough,,Feminine,alguma,algumas,,,,,,,,neto/a,grandson/daughter,,dever,must / should / to owe,,,,,sozinho/a,alone
demasiado,too much,,,,,,,,,,,,marido,husband,,custar,to cost,,feliz,happy,,melhor,better
todo / toda,all,,Numbers,,,Weekdays,,,Getting around,,,,esposa,wife,,gastar,to spend,,triste,sad,,pior,worse
,,,zero,0,,segunda-feira,Monday,,à esquerda,to the left,,,namorado/a,boyfriend/girlfriend,,vender,to sell,,contente,glad / pleased,,,
Indefinite pronouns & quantifiers,,,um / uma,1,,terça-feira,Tuesday,,à direita,to the right,,,bebé,baby,,trazer,to bring,,cansado/a,tired,,muito,a lot / very
algo,something,,dois / duas,2,,quarta-feira,Wednesday,,em frente,straight ahead,,,,,,levar,to take / to carry,,doente,sick,,pouco,a little
nada,nothing,,três,3,,quinta-feira,Thursday,,sempre em frente,straight ahead / keep going straight,,,,,,andar,to walk,,saudável,healthy,,mais,more
alguém,someone,,quatro,4,,sexta-feira,Friday,,virar à esquerda,turn left,,,nome,name,,correr,to run,figurative,zangado/a,angry,,menos,less
ninguém,nobody / no one,,cinco,5,,sábado,Saturday,,virar à direita,turn right,,,idade,age,,sair,to go out / to leave,,preocupado/a,worried,,bastante,quite / enough
tudo,everything,,seis,6,,domingo,Sunday,,seguir,keep going / continue,,,morada,address,,chegar,to arrive,,ocupado/a,busy,,demasiado,too much
outro/a,other / another,,sete,7,,fim de semana,weekend,,atravessar,to cross,,,número,number,,entrar,to enter,,livre,free,,quase,almost
qualquer,any (of them) / whichever,,oito,8,,,,,atravessar a rua,to cross the street,,,profissão,profession,,voltar,to return,,nervoso/a,nervous / anxious,,só,only
cada,each,,nove,9,,Months,,,ao lado de,next to,,,nacionalidade,nationality,,passar,to pass / to spend (time),,apaixonado/a,in love,,apenas,only / just
vários/as,several,,dez,10,,janeiro,January,,perto de,near,,,língua,language,,viajar,to travel,,,,,também,also / too
,,,onze,11,,fevereiro,February,,longe de,far from,,,,,,visitar,to visit,,magro/a,thin,,tão,so
,,,doze,12,,março,March,,em frente de,opposite / facing,,,trabalho,work / job,,reservar,to reserve / to book,,gordo/a,fat,,,
,,,treze,13,,abril,April,,entre,between,,,emprego,job,,usar,to use / to wear,,forte,strong,,sim,yes
,,,catorze,14,,maio,May,,na esquina,on the corner,,,empresa,company,,aprender,to learn,,fraco/a,weak,,não,no / not
,,,quinze,15,,junho,June,,a primeira rua,the first street,,,reunião,meeting,,ensinar,to teach,,jovem,young,,talvez,maybe
,,,dezasseis,16,,julho,July,,a segunda rua,the second street,,,escola,school,,explicar,to explain,,idoso/a,elderly,,claro,of course
"to add somewhere, not sure where?",,,dezassete,17,,agosto,August,,o cruzamento,the crossroads / intersection,,,aula,class / lesson,,mostrar,to show,,careca,bald,,provavelmente,probably
através,through / via,,dezoito,18,,setembro,September,,o semáforo,the traffic light,,,professor(a),teacher,,começar,to start,,barbudo/a,bearded,,,
,,,dezanove,19,,outubro,October,,a paragem de autocarro,the bus stop,,,aluno/a,student,,acabar,to finish,,,,,,
,,,vinte,20,,novembro,November,,a estação,the station,,,,,,continuar,to continue,,branco/a,white,,,
,,,trinta,30,,dezembro,December,,o mapa,the map,,,casa,house / home,,parar,to stop,,preto/a,black,,,
,,,quarenta,40,,mês,month,,onde fica ...?,where is ...?,,,apartamento,apartment,,esperar,to wait / to hope,,vermelho/a,red,,,
,,,cinquenta,50,,ano,year,,como vou para ...?,how do I get to ...?,,,quarto,bedroom / room,,encontrar,to find / to meet,,azul,blue,,,
,,,sessenta,60,,,,,,,,,sala,living room,,procurar,to look for,,verde,green,,,
,,,setenta,70,,Greetings,,,,,,,cozinha,kitchen,,perder,to lose / to miss,,amarelo/a,yellow,,,
,,,oitenta,80,,olá,hi / hello,,,,,,casa de banho,bathroom,,ganhar,to win / to earn,,cor-de-rosa,pink,,,
,,,noventa,90,,bom dia,good morning,,,,,,porta,door,,abrir,to open,,cor-de-laranja,orange,,,
,,,cem / cento,100,,boa tarde,good afternoon,,,,,,janela,window,,fechar,to close,,castanho/a,brown,,,
